SRR15058638 SRR15058641 SRR15058644 SRR15058645 SRR15058646 SRR15058649 SRR15058619 SRR15058622 SRR15058623 SRR15058624 SRR15058625 SRR15058626 SRR15058627 SRR15058629 SRR15058634 SRR15058636
LOC124904047 50 16 12 9 48 33 17 14 17 9 10 2 9 4 4 0
PITPNC1 669 261 541 856 294 872 1842 1748 1771 1537 1200 1330 1631 1363 919 932
PSMD12 660 381 160 1643 837 421 854 829 740 884 783 576 746 921 662 549
LOC124900398 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNA5SP447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HELZ.AS1 11 2 6 2 4 7 2 4 1 2 0 4 1 0 5 1
RPL36AP48 16 10 3 3 9 9 0 3 2 0 2 0 0 1 0 0
HELZ 3135 1771 571 3005 2196 2809 4564 4806 4902 4453 3554 3392 3652 2904 2168 1955
CACNG1 3 0 8 0 0 5 0 0 0 3 0 1 0 0 2 0
CACNG4 1 3 8 1 0 4 1 3 4 2 0 1 0 2 0 0
RNA5SP446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CACNG5 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0
MIR634 5 2 1 0 1 1 1 0 0 0 0 0 1 0 0 0
RNA5SP445 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
RNU6.928P 3 3 0 0 5 12 0 0 0 0 1 0 0 2 0 0
PRKCA.AS1 27 18 5 4 27 46 3 0 3 2 3 1 0 0 0 0
RN7SL735P 14 3 2 0 4 28 1 0 0 0 0 1 0 0 0 0
PRKCA 1396 676 366 2531 882 1452 1551 1192 1568 1223 1005 861 1006 835 672 580
RNA5SP444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
APOH 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PSMD7P1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1
LOC107984972 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
LOC105371867 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100419102 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
LOC107984971 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
LOC100420638 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0
CEP112 26 6 0 14 3 24 20 21 14 27 6 22 10 6 2 8
AXIN2 245 57 40 524 52 214 647 165 221 373 128 174 295 332 167 206
LINC02563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZNF848P 4 3 2 0 1 3 3 5 5 2 1 0 0 0 4 1
RGS9 90 36 174 130 71 193 283 702 586 366 170 357 371 187 217 194
LOC100507002 1 0 4 15 0 7 12 8 5 4 2 5 4 4 2 2
LOC105371864 3 2 3 3 5 1 8 5 3 6 4 1 4 2 3 2
GNA13 3260 2209 1335 6124 4069 1849 6072 5640 6428 7015 8041 5841 5718 7471 4307 4047
LOC124904044 17 8 4 5 6 7 0 4 2 5 2 2 1 4 1 0
AMZ2P1 68 41 150 445 59 49 195 179 184 219 217 247 212 282 176 201
SLC16A6P1 28 4 1 13 16 6 31 21 15 32 19 13 39 16 14 24
LOC107985000 38 13 4 24 45 34 32 49 25 45 50 37 44 49 25 30
RN7SL404P 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
LOC102929163 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0
LOC105376844 2 0 1 1 16 0 0 4 8 4 2 1 1 0 0 0
LOC105371860 0 0 2 0 4 2 2 2 4 1 3 1 3 0 0 1
RNU7.115P 1 5 3 2 16 1 0 4 1 5 5 0 0 1 0 0
MIR4315.2 6 1 3 0 0 0 1 4 0 2 0 0 0 1 0 4
PLEKHM1P1 1237 748 2144 1070 581 1370 1755 1992 1951 2049 2077 1550 1777 2053 1866 1544
MIR6080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ARHGAP27P1 339 169 621 835 209 460 820 819 737 896 906 629 839 787 776 704
BPTFP1 5 3 2 0 7 1 0 0 3 0 1 0 2 2 0 0
LOC101929240 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KPNA2P3 14 5 8 31 30 9 22 26 26 25 19 12 22 19 6 20
ARHGAP27P1.BPTFP1.KPNA2P3 172 57 136 217 98 228 339 417 345 456 453 306 389 387 234 170
MICOS10P2 4 1 0 2 9 6 0 2 1 5 0 0 5 3 0 1
SMURF2 479 318 228 1529 668 467 872 800 922 872 670 594 734 724 406 360
CEP95 1143 568 226 4344 890 763 2187 2072 2274 2383 1547 1494 2067 2220 1381 1077
MIR5047 682 409 334 1683 409 423 3200 2836 2963 3712 3082 2592 2819 3877 1734 1700
MIR3064 89 30 49 480 116 24 858 698 724 923 795 628 650 1030 232 206
DDX5 12082 7127 9738 29546 8838 10597 43648 39395 40229 48559 42163 37664 38343 62764 34324 30299
ATP5MFP4 7 11 5 0 17 11 1 2 5 7 7 4 3 5 4 3
POLG2 256 138 86 513 416 203 824 777 801 774 517 500 657 542 325 262
MILR1 664 675 902 168 803 394 493 363 643 745 706 328 416 545 349 272
PECAM1 4205 3067 3619 2313 3669 4243 4538 5424 8392 7292 10025 3469 5003 6192 2578 3010
RPL31P57 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1
TEX2 272 144 265 165 371 334 410 367 455 332 446 243 293 250 231 251
SNORA50C 21 12 63 0 5 9 0 0 0 0 0 0 0 0 1 0
SNORD104 38 18 27 155 7 14 138 75 117 101 64 66 89 75 97 140
SNHG25 6 8 13 164 0 12 52 24 47 35 19 39 71 49 36 50
ERN1 3052 967 1405 1394 640 1637 2395 4949 2521 2596 2734 3966 2998 3415 2110 2313
ICAM2 308 206 379 332 153 276 187 231 217 189 248 156 160 146 148 133
PRR29 139 61 86 220 48 147 131 123 126 166 109 109 108 122 136 92
PRR29.AS1 17 1 6 6 2 16 3 10 6 14 2 2 9 12 13 10
LOC105371858 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0
SCN4A 12 2 10 13 6 8 23 11 25 26 6 4 13 6 14 16
CD79B 351 207 166 1967 119 588 736 469 685 649 402 226 457 296 332 375
GH1 0 0 0 49 1 1 5 0 7 3 1 2 3 1 0 2
LOC112268204 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0
CSHL1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CSH1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
GH2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
CSH2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TCAM1P 0 0 3 1 1 0 0 0 1 1 0 0 1 0 0 0
SMARCD2 870 521 1300 2395 375 1146 1572 1388 1311 1551 1350 1074 1301 1387 1102 990
PSMC5 677 392 530 1364 220 573 1363 1335 1430 1430 1261 958 1125 898 1064 1116
FTSJ3 405 179 404 921 156 384 790 684 648 606 539 466 558 719 667 632
DDX42 1166 606 550 4985 693 1087 3176 2813 3576 3339 2773 2214 2884 2451 1618 1514
CCDC47 608 343 198 1226 626 442 701 694 690 785 630 467 558 680 464 408
STRADA 884 382 497 1679 428 873 988 1003 944 978 791 627 791 810 612 584
LOC729683 189 71 215 182 38 231 225 204 192 185 152 113 131 179 133 117
LIMD2 4621 2286 5195 23020 1128 4633 8183 6318 6925 7848 6299 4998 6265 7850 7023 6667
LOC101927898 121 119 91 351 52 129 111 99 100 115 90 53 79 160 82 61
EEF1DP7 107 85 16 5 13 115 47 29 35 39 34 14 25 20 24 28
MAP3K3 2712 1824 3474 2869 1001 2607 3275 3266 3731 4025 4454 2675 3077 4454 4088 3436
FAM136DP 4 3 4 26 2 18 16 5 19 15 4 6 10 8 17 15
TACO1 172 78 107 398 45 155 179 153 197 214 137 117 152 141 81 102
RNU6.288P 8 3 0 0 1 3 2 7 5 6 3 4 5 3 0 0
DCAF7 909 512 1161 719 506 1176 711 842 907 726 701 442 587 398 317 294
KCNH6 1 0 0 2 2 2 1 0 0 1 0 0 0 1 0 1
ACE3P 0 0 0 1 0 2 0 0 0 0 1 0 1 0 1 1
ACE 247 66 35 29 16 88 64 88 83 96 112 112 111 181 67 82
PPIAP55 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
CYB561 391 127 192 354 85 303 474 667 396 457 569 433 565 372 472 358
LOC105371856 34 17 2 2 14 16 25 29 34 26 18 20 11 16 10 12
LOC100420064 1 1 0 0 1 0 1 3 0 0 0 1 1 0 0 0
DNAJB6P8 4 2 2 0 3 6 0 1 0 0 1 0 1 0 0 0
LOC100419888 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
TANC2 689 299 287 445 294 562 704 1104 963 947 662 832 811 661 611 582
TRMT112P3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MIR633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PRELID3BP3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MARCHF10.DT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105371855 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0
MARCHF10 0 0 1 0 1 3 0 3 1 3 1 2 0 0 0 3
RNU6.446P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MRC2 49 21 15 144 35 69 103 38 90 63 45 42 97 68 100 101
LOC107985020 2 0 2 1 0 1 1 0 3 1 1 0 1 0 2 0
RPS10P26 26 21 16 55 14 32 37 26 26 33 16 22 18 15 25 27
TLK2 809 501 579 1921 742 767 1375 1221 1358 1354 1134 953 1041 1371 718 704
LOC112268200 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
METTL2A 64 40 64 72 39 82 73 80 88 68 55 39 56 54 27 40
RPS23P7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU7.52P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPLP2P5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
LOC105371854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
EFCAB3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105371936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL36AP47 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
USP32P4 0 0 1 0 0 1 1 0 0 1 2 3 0 0 3 1
LOC105371853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TBC1D3P2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100996361 4 2 0 1 0 0 1 1 1 3 2 3 0 1 1 0
POLRMTP1 18 3 3 40 3 19 28 6 46 86 37 16 36 24 33 43
RN7SL800P 24 13 0 7 47 27 10 6 11 7 9 6 11 8 9 2
MED13 2740 1791 930 2850 2532 2593 2761 2695 3026 3163 2645 2013 2368 2782 1515 1351
INTS2 190 77 78 403 166 204 296 312 330 254 244 229 276 235 113 111
BRIP1 79 55 37 72 62 48 50 54 45 61 76 24 55 43 18 12
NACA2 1 1 2 48 5 1 15 11 13 14 40 32 14 13 39 33
LOC124904042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TBX4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC02875 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TBX2 0 0 3 1 1 0 0 1 0 0 0 1 0 0 2 0
TBX2.AS1 9 1 1 0 0 4 0 0 1 0 0 0 0 0 0 0
LOC101927855 8 5 2 0 12 10 2 1 2 2 1 0 1 3 0 0
LOC107984992 306 206 34 10 298 274 58 51 54 78 67 28 30 51 22 20
LOC124904041 448 319 64 4 563 349 52 46 51 56 41 21 18 26 9 11
RPL23AP74 7 2 1 83 0 4 42 18 29 24 21 17 21 20 23 24
LOC124904118 3 2 0 0 6 4 0 0 0 1 0 0 0 0 0 1
RN7SL448P 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
HMGN1P28 2 3 3 0 2 11 0 0 2 2 1 4 1 0 0 1
KRT18P61 6 9 15 0 3 26 3 2 3 4 0 0 0 0 1 1
RPL36AP46 4 0 0 3 0 2 3 2 3 2 1 0 2 4 1 2
RN7SL606P 2 2 2 0 1 8 0 2 4 2 0 0 1 0 0 2
BCAS3 568 364 590 189 304 549 326 347 356 372 378 281 263 222 230 203
RNU6.623P 0 0 0 0 1 0 2 0 1 3 2 2 0 2 0 0
PPM1D 226 128 393 231 166 267 300 274 310 386 298 318 353 731 355 309
RPSAP66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC01999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107984970 35 24 8 1 12 34 5 3 4 1 5 2 2 1 1 2
APPBP2 328 176 162 793 295 344 612 574 705 626 520 491 622 485 269 276
HMGN2P42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL12P38 1 0 0 16 0 2 5 5 9 6 6 6 5 4 2 4
C17orf64 2 6 4 2 2 4 0 3 1 1 2 1 4 0 0 2
LOC105371850 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0
H3P42 6 12 4 2 10 3 0 1 0 0 1 0 0 0 0 0
SEPTIN7P12 27 26 11 0 34 14 5 8 4 9 7 5 0 10 0 2
RPL32P32 9 13 6 2 1 7 2 3 3 2 10 1 3 8 4 3
SCARNA20 3 6 9 1 1 4 2 0 0 2 0 0 0 2 0 0
USP32 1544 1111 1349 301 1605 1349 1209 1353 1543 1852 2629 1275 1248 2571 1162 1110
FAM106DP 2 2 19 0 4 13 2 2 2 2 7 0 2 11 1 0
CA4 8 6 320 50 7 14 18 65 122 182 303 209 84 672 83 194
LOC100996660 9 6 4 4 3 9 10 12 6 6 9 4 2 6 6 7
LOC653653 6 6 4 3 11 1 20 12 14 16 13 4 15 13 4 5
WFDC21P 2 0 0 3 6 3 1 3 2 6 2 2 0 0 2 1
HEATR6.DT 2 2 1 0 1 1 2 1 0 1 0 1 2 3 2 1
LOC100422693 3 4 2 2 9 5 3 5 1 4 1 6 2 0 2 0
MIR4737 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HEATR6 342 155 166 396 103 301 475 397 434 398 279 246 366 324 240 283
LOC105371848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TBC1D3P1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1
DHX40P1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
RNFT1.DT 1 2 9 6 5 2 12 30 15 23 19 16 20 20 4 1
TBC1D3P1.DHX40P1 1 1 0 4 4 0 11 8 14 8 13 3 6 8 2 0
RNFT1 69 39 34 205 160 48 279 288 264 283 202 202 196 167 87 85
RPS29P21 16 7 2 2 30 21 4 1 5 4 4 0 0 1 0 0
RPS6KB1 828 464 130 1488 782 573 878 918 932 953 747 653 731 935 476 482
NDUFB8P2 26 11 12 3 15 20 0 7 9 1 6 1 0 2 2 1
TUBD1 91 40 60 132 40 63 63 41 80 72 45 44 65 49 18 28
RNU6.450P 2 0 1 0 0 0 0 0 1 1 1 0 1 2 0 0
MIR21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VMP1 1686 2175 4936 809 3733 1283 793 1224 1884 2268 2988 1624 1036 2560 1073 1098
PTRH2 139 122 52 162 70 120 151 126 194 164 116 93 151 118 80 52
CLTC 3133 2154 769 3124 2851 2533 3137 3476 3400 3704 3796 2716 3065 3574 2121 1784
DHX40 462 238 125 1270 412 359 1036 880 977 1100 985 775 915 1295 650 626
RNU4.13P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105371847 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
LOC105371845 1 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0
LOC124904040 1 2 0 1 0 0 1 0 2 0 0 1 0 0 1 0
LINC01476 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
MIR4729 8 5 0 0 4 4 3 1 2 1 2 0 1 0 0 0
YPEL2 1208 852 458 3256 871 1267 2748 2153 3298 3502 3122 2007 2949 1917 2188 1774
SNRPGP17 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
GDPD1 12 6 20 11 8 21 46 41 41 58 42 37 37 28 15 24
SMG8 202 126 190 236 94 217 281 286 321 313 232 173 266 117 72 55
SPDYE22P 7 8 5 3 7 41 0 1 1 1 3 2 1 3 0 0
PRR11 44 51 49 56 69 68 96 97 153 171 262 56 109 82 71 36
MIR301A 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MIR454 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
RNU2.58P 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
SKA2 103 73 45 145 80 90 124 108 131 101 143 64 94 48 30 26
LOC124904039 24 12 4 11 20 10 10 6 9 10 4 5 6 8 12 3
RN7SL716P 3 1 3 0 1 1 0 0 1 0 1 0 0 0 4 0
TRIM37 243 131 89 379 177 260 457 468 447 422 350 339 402 428 201 243
RPS12P30 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.518P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PPM1E 6 3 0 0 3 2 1 4 4 2 1 1 1 1 1 0
LOC105371843 1 2 0 1 0 0 0 1 3 1 3 0 3 0 0 2
RAD51C 32 40 28 141 24 40 65 64 52 45 76 53 76 63 36 39
RNVU1.34 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0
RNU1.52P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU1.108P 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
IGBP1P2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
LOC124904122 2 8 120 6 8 17 87 6 15 28 50 34 19 76 52 75
LOC105371842 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
LOC124904154 40 80 494 2 42 58 7 0 1 0 2 10 4 39 45 53
LOC107985048 2 0 1 0 0 1 1 0 2 2 1 0 0 0 0 0
TEX14 17 14 29 29 7 11 12 12 11 6 9 9 18 8 7 15
SEPTIN4 69 72 404 127 26 31 98 54 84 67 37 37 23 40 88 28
SEPTIN4.AS1 3 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0
MTMR4 937 471 1238 1014 334 1108 1421 1181 1488 1267 1324 1024 1121 1182 840 705
SETP3 2 2 0 0 0 3 4 5 3 2 0 1 5 0 0 2
HSF5 28 13 4 12 8 41 38 25 31 32 26 29 26 35 11 16
RNF43 269 170 133 171 108 537 322 221 231 235 107 125 158 158 121 126
SUPT4H1 572 359 731 1276 342 545 1200 1023 1029 1086 1119 739 839 897 650 523
MIR4736 0 0 8 0 0 2 0 0 0 0 0 0 0 3 1 1
MIR142 47 63 117 438 17 91 191 154 169 207 175 110 216 211 398 432
TSPOAP1.AS1 300 161 459 340 165 371 489 346 365 413 238 253 227 287 414 236
TSPOAP1 756 375 1029 1657 371 1770 2958 5369 4579 3034 1541 3402 3337 2313 3101 2687
MPO 104 75 124 128 40 123 296 265 417 254 2152 177 188 44 529 429
LOC124904038 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1
LPO 8 5 5 1 2 9 3 2 5 2 17 0 3 9 5 4
LOC105371841 2 0 2 1 0 7 2 2 0 0 0 0 0 0 1 0
MKS1 41 19 50 50 9 73 106 90 98 84 60 54 54 34 50 42
EPX 7 1 2 10 0 9 12 13 11 18 13 6 12 4 11 10
OR4D2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
MSX2P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OR4D1 1 0 0 0 4 4 3 1 0 0 2 1 3 3 0 2
DYNLL2 1114 534 1113 3412 671 790 3255 2701 2811 2892 1935 2050 2382 2675 2702 2225
DYNLL2.DT 0 0 2 0 0 0 1 1 1 2 0 1 0 2 1 2
LOC105371840 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
SRSF1 2766 1299 1069 6330 2495 2230 5672 4815 5488 5208 4223 3829 4225 3889 2849 2356
LOC101929185 12 5 5 352 15 16 73 55 61 33 47 36 65 41 20 21
VEZF1 779 540 613 1562 639 621 1476 1534 1504 1660 1394 900 1205 1241 1230 899
LOC107985065 39 37 21 0 23 14 1 2 2 3 4 0 0 2 3 0
CUEDC1 307 197 467 289 135 323 252 275 278 430 456 211 288 422 379 283
MRPS23 137 96 98 345 77 143 158 151 197 186 170 133 158 107 105 103
RN7SKP94 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CCDC182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU7.134P 5 3 0 0 0 4 1 1 0 0 0 0 0 0 0 0
RN7SL449P 10 7 6 1 2 19 3 3 3 6 4 4 5 2 1 6
LOC101927539 35 17 19 1 21 74 9 7 5 5 10 3 1 2 1 1
LOC107984993 468 208 180 21 152 832 67 47 71 51 43 11 9 23 18 14
LOC101927557 9 6 3 0 11 26 1 0 1 0 1 0 0 2 0 0
MSI2 1690 523 273 2374 782 1681 2472 2280 2465 2374 1665 1828 2115 1900 994 937
LOC101927510 0 0 4 2 0 0 0 1 1 1 0 2 1 7 3 6
AKAP1 315 166 168 193 136 392 574 411 505 428 304 361 456 353 288 276
RNF126P1 0 0 1 0 0 2 2 0 3 1 1 2 0 0 0 0
SCPEP1 1079 740 669 903 655 793 1887 1972 2360 2359 3266 1285 2045 1376 2060 1716
LOC105371836 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100419768 6 4 5 5 7 16 7 8 3 3 1 0 1 0 2 2
COIL 189 133 61 436 146 185 568 526 604 602 511 506 613 580 273 185
MIR3614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRIM25 3121 2717 10178 1166 2185 3166 2403 2337 2494 3037 5363 2216 2232 3553 1974 2276
MTVR2 60 66 66 2 33 56 7 14 9 28 33 9 8 21 5 11
RNU6.1158P 1 3 0 0 1 2 1 1 1 0 1 0 0 0 3 0
LOC124904037 32 31 26 5 27 19 8 11 3 11 15 9 5 10 3 1
LOC124904036 37 13 8 9 26 25 26 54 28 23 20 19 27 20 8 7
DGKE 418 207 99 629 260 379 1133 1204 980 979 742 824 923 703 523 373
C17orf67 90 52 87 80 40 139 267 256 290 221 134 180 254 157 147 134
NOG 2 0 3 336 5 29 159 28 54 56 9 21 72 32 8 8
RPL39P33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC112268194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124904035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ANKFN1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
PCTP 179 112 192 108 116 126 182 275 229 220 289 165 200 223 135 138
TMEM100 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
LOC124904099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC101927389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC102724732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100418888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.1249P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
GARS1P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124904034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SMIM36 0 0 0 10 0 0 0 0 0 0 0 0 0 1 1 0
MMD 1320 1033 653 7365 2677 482 2961 2074 2003 2187 1132 1061 1420 1047 726 881
HLF 48 13 1 44 8 30 29 31 27 50 22 32 36 24 23 25
LOC107985002 18 9 0 6 21 41 40 26 17 16 20 20 11 7 2 2
STXBP4 131 60 24 41 81 167 214 159 202 176 100 127 123 76 47 36
COX11 127 72 28 293 94 177 478 352 571 458 330 277 312 251 148 169
LOC124904032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TOM1L1 13 7 10 20 26 1 6 9 19 5 3 1 6 1 9 4
LOC124904033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RN7SKP14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ARL2BPP8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ISCA1P3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124904031 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107985001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100128713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIF2B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC124904030 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPS2P48 0 0 0 4 0 0 4 0 2 0 0 0 0 0 1 0
LOC107984982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100419014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC645163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MTCO1P40 1 6 3 71 4 0 45 21 75 26 27 22 33 33 40 23
LINC02876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC107984983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC02089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105371829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
CA10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL7P48 1 0 0 3 0 0 0 1 2 2 1 3 0 2 2 0
LINC02073 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
LINC02072 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
LINC02071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
UTP18 269 145 146 533 292 271 616 496 610 606 510 415 497 679 285 264
MBTD1 742 422 244 1117 792 614 1305 1208 1296 1202 994 897 948 1075 479 406
NME2 4 6 3 30 0 18 39 29 42 18 28 15 19 15 25 29
NME1 24 11 29 58 7 48 65 45 45 38 47 35 54 33 38 36
NME1.NME2 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
LOC124904125 2 3 15 0 24 7 0 0 0 0 2 0 0 0 2 0
SPAG9 1715 1066 974 2199 2089 1076 2374 2466 2486 2875 3089 2562 2303 3935 1846 1625
LOC124904029 0 0 4 4 1 3 2 0 1 0 0 0 1 0 0 0
LOC124904102 10 0 4 1 1 3 3 2 1 2 2 2 3 1 3 2
LOC105371825 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0
TOB1.AS1 5 2 28 3 1 7 3 6 8 6 8 8 6 7 6 8
TOB1 1754 376 937 1192 349 1054 1677 1692 2370 1750 2651 2663 1683 1461 1695 3532
RPL5P33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
WFIKKN2 0 0 0 0 0 2 1 1 3 0 1 0 1 1 0 0
MIR8059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ANKRD40CL 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
LUC7L3 1709 1043 187 4968 1606 1637 10217 7452 9508 9077 6544 6240 7825 4116 2552 2349
ANKRD40 428 262 250 1035 256 408 831 657 707 807 608 520 652 628 389 329
ABCC3 856 821 653 1835 650 472 1072 1497 1100 1023 766 345 698 530 1443 1152
LOC101927253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CACNA1G 0 0 0 2 0 0 1 0 0 0 2 0 0 0 2 0
CACNA1G.AS1 3 3 0 2 2 7 3 1 1 2 1 0 1 1 0 1
SPATA20 529 256 315 1199 98 667 1035 972 1008 1071 838 704 901 699 785 1102
LOC105371824 0 0 3 0 0 0 0 2 3 0 0 0 0 0 0 0
